block,plot,trt,10/19/2016,12/28/2016,1/27/2017,2/24/2017,3/30/2017,4/28/2017,5/25/2017,6/27/2017,8/7/2017,10/8/2017,11/3/2017,12/2/2017,1/2/2018,2/2/2018,3/26/2018,4/22/2018,5/21/2018,6/18/2018,7/16/2018,10/29/2018,no.flowers.mar.2018,no.flowers.april.2018,no.flowers.may.2018,no.flowers.june.2018
2,A,1X,31,46,39,37,40,50,42,24,27,16,17,23,27,42,68,51,58,66,55,38,0,3,3,7
2,B,0X,18,22,24,31,32,29,26,28,35,27,24,25,43,42,60,55,37,36,28,26,0,1,2,2
2,C,2X,32,58,51,51,43,76,45,43,35,35,37,62,49,52,80,91,122,113,62,33,0,0,0,0
2,D,4X,32,35,40,31,30,33,36,26,29,7,24,13,14,17,54,50,62,66,62,27,0,0,0,1
3,A,4X,16,33,28,28,21,16,11,12,7,10,11,13,12,16,31,36,43,55,26,23,0,0,0,0
3,B,1X,21,26,31,23,24,28,28,37,32,22,23,29,16,13,35,31,59,58,51,30,0,0,0,0
3,C,0X,24,25,33,55,59,65,67,54,33,14,25,22,21,32,53,58,61,58,74,22,0,0,0,0
3,D,2X,12,23,19,31,19,22,22,28,50,38,38,26,21,33,62,56,42,48,54,16,0,0,0,0
4,A,1X,31,33,35,39,46,67,52,60,56,39,37,51,41,45,74,78,67,91,67,29,0,0,2,2
4,B,0X,18,24,27,38,37,37,51,45,41,37,43,60,59,76,105,115,107,96,81,33,0,0,0,0
4,C,2X,19,19,28,30,30,32,41,57,49,28,27,37,41,45,87,58,70,86,83,29,0,0,0,0
4,D,4X,27,46,36,47,35,43,42,26,26,12,38,23,30,57,106,103,72,86,61,24,1,1,0,2
5,A,2X,32,54,46,44,39,48,54,57,41,36,29,46,29,65,75,64,58,70,72,52,0,0,1,2
5,B,4X,29,46,35,35,26,26,30,25,35,26,23,50,55,99,124,128,98,110,71,31,0,0,0,1
5,C,1X,33,58,46,60,56,57,70,48,21,3,8,20,15,24,19,37,29,42,37,15,0,0,0,2
5,D,0X,22,45,42,58,62,67,109,99,63,37,57,46,47,60,95,113,94,112,69,29,0,4,5,6
6,A,0X,25,49,47,53,54,65,60,51,45,30,29,43,47,73,100,112,77,72,64,39,0,2,5,5
6,B,4X,28,27,28,21,15,17,23,14,27,23,25,37,31,44,68,65,83,75,72,46,0,0,0,0
6,C,2X,16,26,39,39,35,32,74,81,51,11,42,59,58,48,93,88,85,101,87,17,0,0,2,0
6,D,1X,33,37,39,41,33,35,46,33,27,20,30,43,48,70,56,82,84,89,85,28,0,0,0,0
7,A,0X,31,29,32,60,42,45,33,23,19,30,28,29,26,31,58,68,57,62,71,39,0,1,1,1
7,B,2X,38,42,26,38,24,17,27,26,28,20,14,34,53,54,68,66,70,73,54,41,0,0,0,1
7,C,4X,27,41,32,37,34,43,52,34,8,0,1,3,0,0,2,2,4,1,0,9,0,0,0,0
7,D,1X,26,44,37,48,50,59,76,65,42,28,22,31,24,24,31,32,56,62,63,29,0,0,0,0
8,A,0X,24,45,32,47,53,44,35,32,23,40,36,45,49,58,52,55,47,45,38,38,0,1,2,1
8,B,1X,23,21,29,27,23,16,13,7,12,9,23,32,36,48,53,34,29,24,39,47,0,0,0,0
8,C,4X,40,53,40,35,37,37,31,32,17,15,14,30,26,42,88,78,70,71,70,44,0,0,1,1
8,D,2X,40,54,38,47,40,32,20,28,28,13,25,40,40,56,73,67,45,60,72,43,0,0,0,0
9,A,1X,18,14,19,20,19,18,20,13,30,31,16,30,31,45,68,51,50,49,54,46,0,0,0,0
9,B,2X,36,47,36,52,42,45,44,38,52,43,41,80,76,71,107,78,56,59,58,34,0,0,0,0
9,C,4X,39,51,40,46,38,24,20,5,2,1,3,13,3,4,14,15,24,40,48,36,0,0,0,0
9,D,0X,40,47,38,47,52,33,29,21,35,21,31,39,49,55,72,NA,64,73,62,41,0,0,0,0
10,A,4X,33,35,35,51,38,31,20,21,21,32,41,35,53,62,84,73,67,63,77,44,0,0,1,1
10,B,2X,25,33,26,39,24,18,18,20,36,26,35,43,45,51,74,70,67,67,64,58,0,0,3,2
10,C,1X,29,31,23,24,30,27,32,34,41,26,35,34,38,68,83,69,56,63,70,37,0,0,0,3
10,D,0X,26,20,30,35,38,42,42,60,46,25,29,35,50,53,69,57,52,60,55,23,0,0,1,0
