population,time,block,plot,trt,sample,name,X,Y,Zm01_1,Zm01_2,Zm02_1,Zm02_2,Zm03_1,Zm03_2,Zm04_1,Zm04_2,Zm05_1,Zm05_2,Zm06_1,Zm06_2,Zm07_1,Zm07_2,Zm08_1,Zm08_2,Zm09_1,Zm09_2,Zm10_1,Zm10_2,Zm11_1,Zm11_2
T1_2A,1,2,A,1X,1,T1-2A1,1,6,171,171,102,102,105,105,80,94,192,196,284,290,93,96,242,246,134,136,146,150,238,238
T1_2A,1,2,A,1X,2,T1-2A2,2,6,165,171,99,102,105,105,80,94,196,196,284,284,93,96,240,242,128,128,146,148,238,238
T1_2A,1,2,A,1X,3,T1-2A3,3,6,165,171,99,102,105,105,80,94,196,196,284,284,93,96,240,242,128,128,146,148,238,238
T1_2A,1,2,A,1X,4,T1-2A4,4,6,171,171,102,102,105,105,80,94,192,196,284,290,93,96,242,246,134,136,146,150,238,238
T1_2A,1,2,A,1X,5,T1-2A5,5,6,165,171,99,102,105,105,80,94,196,196,284,284,93,96,240,242,128,128,146,148,238,238
T1_2A,1,2,A,1X,6,T1-2A6,6,6,165,171,99,102,105,105,80,94,196,196,284,284,93,96,240,242,128,128,146,148,238,238
T1_2A,1,2,A,1X,7,T1-2A7,1,5,171,171,102,102,105,105,80,94,192,196,284,290,93,96,242,246,134,136,146,150,238,238
T1_2A,1,2,A,1X,8,T1-2A8,2,5,171,171,102,102,105,105,80,94,192,196,284,290,93,96,242,246,134,136,146,150,238,238
T1_2A,1,2,A,1X,9,T1-2A9,3,5,171,171,102,102,105,105,80,94,192,196,284,290,93,96,242,246,134,136,146,150,238,238
T1_2A,1,2,A,1X,10,T1-2A10,4,5,171,171,102,102,105,105,80,94,192,196,284,290,93,96,242,246,134,136,146,150,238,238
T1_2A,1,2,A,1X,11,T1-2A11,5,5,171,171,102,102,105,105,80,94,192,196,284,290,93,96,242,246,134,136,146,150,238,238
T1_2A,1,2,A,1X,12,T1-2A12,6,5,NA,NA,102,102,105,105,NA,NA,NA,NA,NA,NA,93,96,NA,NA,NA,NA,NA,NA,NA,NA
T1_2A,1,2,A,1X,13,T1-2A13,1,4,165,165,102,102,105,105,80,80,196,200,284,290,90,99,242,242,132,134,146,146,238,238
T1_2A,1,2,A,1X,14,T1-2A14,2,4,165,165,102,102,105,105,80,80,196,200,284,290,90,99,242,242,132,134,146,146,238,238
T1_2A,1,2,A,1X,15,T1-2A15,3,4,171,171,102,102,105,105,80,94,192,196,284,290,93,96,242,246,134,136,146,150,238,238
T1_2A,1,2,A,1X,16,T1-2A16,4,4,171,171,102,102,105,105,80,94,192,196,284,290,93,96,242,246,134,136,146,150,238,238
T1_2A,1,2,A,1X,17,T1-2A17,5,4,171,171,102,102,105,105,80,94,192,196,284,290,93,96,242,246,134,136,146,150,238,238
T1_2A,1,2,A,1X,18,T1-2A18,6,4,165,165,102,102,105,105,80,80,196,200,284,290,90,99,242,242,132,134,146,146,238,238
T1_2A,1,2,A,1X,19,T1-2A19,1,3,171,171,102,102,105,105,80,94,192,196,284,290,93,96,242,246,134,136,146,150,238,238
